model-1615048505, 1615048509.356, 0.66, 0.1991, 0.61,0.2417
model-1615048505, 1615048509.407, 0.7, 0.2041, 0.73,0.194
model-1615048505, 1615048509.456, 0.65, 0.2205, 0.64,0.2148
model-1615048505, 1615048509.501, 0.58, 0.2409, 0.62,0.2178
model-1615048505, 1615048509.549, 0.66, 0.2188, 0.54,0.2295
model-1615048505, 1615048509.595, 0.65, 0.221, 0.68,0.2156
model-1615048505, 1615048509.643, 0.74, 0.1801, 0.59,0.2268
model-1615048505, 1615048509.693, 0.68, 0.1864, 0.62,0.23
model-1615048505, 1615048509.739, 0.6, 0.2193, 0.69,0.2261
model-1615048505, 1615048509.788, 0.65, 0.2205, 0.59,0.2368
model-1615048505, 1615048509.835, 0.62, 0.2282, 0.71,0.2007
model-1615048505, 1615048509.883, 0.74, 0.1953, 0.69,0.2072
model-1615048505, 1615048509.928, 0.67, 0.2186, 0.63,0.2478
model-1615048505, 1615048509.989, 0.63, 0.2291, 0.65,0.2381
model-1615048505, 1615048510.042, 0.65, 0.2263, 0.75,0.2058
model-1615048505, 1615048510.095, 0.64, 0.2162, 0.69,0.2015
model-1615048505, 1615048510.149, 0.61, 0.2166, 0.65,0.2273
model-1615048505, 1615048510.197, 0.57, 0.2472, 0.68,0.2128
model-1615048505, 1615048510.248, 0.68, 0.1957, 0.61,0.2403
model-1615048505, 1615048510.294, 0.65, 0.2083, 0.65,0.2159
model-1615048505, 1615048510.346, 0.65, 0.221, 0.72,0.2048
model-1615048505, 1615048510.393, 0.63, 0.2235, 0.59,0.2404
model-1615048505, 1615048510.444, 0.58, 0.2406, 0.68,0.217
model-1615048505, 1615048510.491, 0.67, 0.2145, 0.7,0.1985
model-1615048505, 1615048510.544, 0.6, 0.2295, 0.66,0.2131
model-1615048505, 1615048510.592, 0.64, 0.2059, 0.76,0.1799
model-1615048505, 1615048510.639, 0.64, 0.225, 0.62,0.2247
model-1615048505, 1615048510.69, 0.7, 0.2042, 0.63,0.2125
model-1615048505, 1615048510.737, 0.72, 0.2087, 0.67,0.209
model-1615048505, 1615048510.791, 0.67, 0.2055, 0.63,0.2198
model-1615048505, 1615048510.838, 0.65, 0.227, 0.64,0.2608
model-1615048505, 1615048510.887, 0.67, 0.2162, 0.68,0.2167
model-1615048505, 1615048510.935, 0.67, 0.2171, 0.69,0.2004
model-1615048505, 1615048510.982, 0.61, 0.2359, 0.62,0.2276
model-1615048505, 1615048511.032, 0.6, 0.2323, 0.62,0.2244
model-1615048505, 1615048511.087, 0.78, 0.1919, 0.7,0.2178
model-1615048505, 1615048511.141, 0.68, 0.2033, 0.69,0.2149
model-1615048505, 1615048511.188, 0.61, 0.2315, 0.65,0.2345
model-1615048505, 1615048511.239, 0.72, 0.1994, 0.7,0.2117
model-1615048505, 1615048511.286, 0.73, 0.206, 0.7,0.2086
model-1615048505, 1615048511.332, 0.58, 0.2402, 0.69,0.2053
model-1615048505, 1615048511.39, 0.57, 0.2364, 0.75,0.1709
model-1615048505, 1615048511.44, 0.73, 0.1889, 0.67,0.2285
model-1615048505, 1615048511.491, 0.78, 0.1711, 0.71,0.2039
model-1615048505, 1615048511.539, 0.75, 0.1667, 0.72,0.1934
model-1615048505, 1615048511.587, 0.67, 0.2041, 0.75,0.1791
model-1615048505, 1615048511.633, 0.61, 0.2419, 0.65,0.2232
model-1615048505, 1615048511.683, 0.66, 0.2096, 0.64,0.2207
model-1615048505, 1615048511.734, 0.68, 0.2088, 0.68,0.2151
model-1615048505, 1615048511.781, 0.66, 0.2099, 0.73,0.1745
model-1615048505, 1615048511.83, 0.68, 0.2053, 0.58,0.2345
model-1615048505, 1615048511.876, 0.57, 0.2425, 0.64,0.2456
model-1615048505, 1615048511.925, 0.68, 0.207, 0.68,0.2047
model-1615048505, 1615048511.972, 0.74, 0.1781, 0.6,0.2554
model-1615048505, 1615048512.022, 0.68, 0.2076, 0.61,0.2128
model-1615048505, 1615048512.079, 0.7, 0.2003, 0.7,0.196
model-1615048505, 1615048512.126, 0.71, 0.179, 0.67,0.2115
model-1615048505, 1615048512.175, 0.66, 0.1921, 0.74,0.1912
model-1615048505, 1615048512.223, 0.69, 0.1924, 0.68,0.2
model-1615048505, 1615048512.274, 0.71, 0.1838, 0.71,0.1897
model-1615048505, 1615048512.32, 0.7, 0.2067, 0.62,0.229
model-1615048505, 1615048512.367, 0.68, 0.1968, 0.68,0.203
model-1615048505, 1615048512.418, 0.65, 0.2155, 0.67,0.213
model-1615048505, 1615048512.465, 0.76, 0.1763, 0.71,0.1959
model-1615048505, 1615048512.514, 0.72, 0.1852, 0.73,0.198
model-1615048505, 1615048512.56, 0.77, 0.1653, 0.73,0.2001
model-1615048505, 1615048512.612, 0.71, 0.1773, 0.73,0.196
model-1615048505, 1615048512.659, 0.74, 0.1873, 0.69,0.2132
model-1615048505, 1615048512.705, 0.71, 0.183, 0.7,0.1819
model-1615048505, 1615048512.757, 0.61, 0.226, 0.72,0.1899
model-1615048505, 1615048512.803, 0.8, 0.1528, 0.7,0.185
model-1615048505, 1615048512.853, 0.58, 0.2105, 0.7,0.1799
model-1615048505, 1615048512.905, 0.68, 0.1955, 0.75,0.1642
model-1615048505, 1615048512.955, 0.76, 0.1648, 0.66,0.2254
model-1615048505, 1615048513.001, 0.73, 0.197, 0.67,0.2325
model-1615048505, 1615048513.051, 0.72, 0.199, 0.69,0.2027
model-1615048505, 1615048513.105, 0.69, 0.2126, 0.62,0.2224
model-1615048505, 1615048513.156, 0.77, 0.1618, 0.69,0.2053
model-1615048505, 1615048513.208, 0.74, 0.1871, 0.64,0.2058
model-1615048505, 1615048513.26, 0.64, 0.2088, 0.76,0.1627
model-1615048505, 1615048513.306, 0.75, 0.1716, 0.73,0.1891
model-1615048505, 1615048513.371, 0.75, 0.1599, 0.74,0.1853
model-1615048505, 1615048513.423, 0.87, 0.1245, 0.73,0.1742
model-1615048505, 1615048513.476, 0.66, 0.1998, 0.69,0.2123
model-1615048505, 1615048513.528, 0.73, 0.1811, 0.71,0.192
model-1615048505, 1615048513.577, 0.68, 0.2082, 0.56,0.2515
model-1615048505, 1615048513.623, 0.75, 0.169, 0.77,0.1695
model-1615048505, 1615048513.671, 0.67, 0.2061, 0.69,0.203
model-1615048505, 1615048513.718, 0.66, 0.1941, 0.69,0.1975
model-1615048505, 1615048513.768, 0.62, 0.21, 0.71,0.1896
model-1615048505, 1615048513.819, 0.68, 0.1905, 0.71,0.1927
model-1615048505, 1615048513.868, 0.68, 0.1725, 0.72,0.2065
model-1615048505, 1615048513.914, 0.64, 0.2243, 0.73,0.1592
model-1615048505, 1615048513.961, 0.75, 0.1789, 0.75,0.1839
model-1615048505, 1615048514.011, 0.67, 0.2114, 0.83,0.1482
model-1615048505, 1615048514.059, 0.7, 0.2048, 0.67,0.2196
model-1615048505, 1615048514.116, 0.73, 0.1747, 0.71,0.1871
model-1615048505, 1615048514.163, 0.61, 0.2302, 0.74,0.1871
model-1615048505, 1615048514.213, 0.76, 0.1796, 0.64,0.206
model-1615048505, 1615048514.26, 0.63, 0.2266, 0.68,0.2072
model-1615048505, 1615048514.309, 0.79, 0.1652, 0.73,0.2088
model-1615048505, 1615048514.359, 0.73, 0.1753, 0.68,0.1975
model-1615048505, 1615048514.405, 0.71, 0.1835, 0.71,0.1972
model-1615048505, 1615048514.455, 0.73, 0.1826, 0.69,0.1898
model-1615048505, 1615048514.5, 0.77, 0.1868, 0.66,0.1948
model-1615048505, 1615048514.548, 0.73, 0.2094, 0.66,0.2209
model-1615048505, 1615048514.595, 0.69, 0.1914, 0.75,0.1892
model-1615048505, 1615048514.644, 0.65, 0.2118, 0.7,0.1971
model-1615048505, 1615048514.69, 0.77, 0.1863, 0.73,0.194
model-1615048505, 1615048514.735, 0.68, 0.2055, 0.72,0.1862
model-1615048505, 1615048514.785, 0.74, 0.1877, 0.63,0.2249
model-1615048505, 1615048514.833, 0.76, 0.1701, 0.7,0.1981
model-1615048505, 1615048514.88, 0.67, 0.1936, 0.75,0.1907
model-1615048505, 1615048514.929, 0.67, 0.215, 0.7,0.1987
model-1615048505, 1615048514.978, 0.71, 0.1811, 0.81,0.1675
model-1615048505, 1615048515.025, 0.68, 0.2059, 0.77,0.159
model-1615048505, 1615048515.072, 0.64, 0.2188, 0.79,0.1568
model-1615048505, 1615048515.128, 0.73, 0.1793, 0.67,0.1952
model-1615048505, 1615048515.175, 0.85, 0.1351, 0.68,0.2132
model-1615048505, 1615048515.233, 0.81, 0.1531, 0.69,0.2135
model-1615048505, 1615048515.284, 0.7, 0.1745, 0.67,0.202
model-1615048505, 1615048515.337, 0.65, 0.2331, 0.72,0.1807
model-1615048505, 1615048515.382, 0.72, 0.1899, 0.71,0.1916
model-1615048505, 1615048515.429, 0.71, 0.1945, 0.72,0.1822
model-1615048505, 1615048515.479, 0.69, 0.1963, 0.7,0.1948
model-1615048505, 1615048515.529, 0.71, 0.1739, 0.75,0.1674
model-1615048505, 1615048515.578, 0.66, 0.2227, 0.78,0.1519
model-1615048505, 1615048515.623, 0.75, 0.1586, 0.63,0.2302
model-1615048505, 1615048515.671, 0.77, 0.1561, 0.69,0.2211
model-1615048505, 1615048515.716, 0.73, 0.1891, 0.76,0.1525
model-1615048505, 1615048515.762, 0.77, 0.1765, 0.77,0.1626
model-1615048505, 1615048515.814, 0.72, 0.1665, 0.74,0.166
model-1615048505, 1615048515.86, 0.75, 0.1685, 0.72,0.1661
model-1615048505, 1615048515.907, 0.68, 0.196, 0.85,0.1241
model-1615048505, 1615048515.952, 0.75, 0.1665, 0.79,0.1494
model-1615048505, 1615048516.001, 0.71, 0.2049, 0.8,0.1503
model-1615048505, 1615048516.047, 0.77, 0.1704, 0.69,0.2001
model-1615048505, 1615048516.096, 0.66, 0.2089, 0.77,0.159
model-1615048505, 1615048516.153, 0.79, 0.1586, 0.76,0.1551
model-1615048505, 1615048516.199, 0.74, 0.1661, 0.76,0.1612
model-1615048505, 1615048516.248, 0.8, 0.1382, 0.73,0.1878
