model-1615048635, 1615048639.635, 0.66, 0.2133, 0.68,0.211
model-1615048635, 1615048639.684, 0.73, 0.2052, 0.61,0.2347
model-1615048635, 1615048639.731, 0.66, 0.2009, 0.66,0.2381
model-1615048635, 1615048639.782, 0.66, 0.2279, 0.78,0.1747
model-1615048635, 1615048639.837, 0.6, 0.2317, 0.58,0.2343
model-1615048635, 1615048639.884, 0.66, 0.2085, 0.62,0.2186
model-1615048635, 1615048639.935, 0.69, 0.185, 0.7,0.1964
model-1615048635, 1615048639.982, 0.76, 0.1787, 0.69,0.1935
model-1615048635, 1615048640.03, 0.67, 0.2234, 0.69,0.21
model-1615048635, 1615048640.08, 0.65, 0.2188, 0.69,0.2039
model-1615048635, 1615048640.13, 0.63, 0.2195, 0.67,0.2132
model-1615048635, 1615048640.177, 0.74, 0.1807, 0.61,0.2223
model-1615048635, 1615048640.223, 0.7, 0.2111, 0.62,0.2366
model-1615048635, 1615048640.274, 0.7, 0.2271, 0.58,0.2572
model-1615048635, 1615048640.322, 0.63, 0.2267, 0.71,0.2015
model-1615048635, 1615048640.377, 0.67, 0.1943, 0.64,0.1993
model-1615048635, 1615048640.431, 0.62, 0.2108, 0.72,0.1934
model-1615048635, 1615048640.484, 0.56, 0.244, 0.64,0.2204
model-1615048635, 1615048640.534, 0.73, 0.1873, 0.65,0.2131
model-1615048635, 1615048640.583, 0.7, 0.2031, 0.63,0.2227
model-1615048635, 1615048640.631, 0.64, 0.231, 0.65,0.2232
model-1615048635, 1615048640.685, 0.68, 0.2006, 0.64,0.2216
model-1615048635, 1615048640.732, 0.64, 0.2334, 0.63,0.2065
model-1615048635, 1615048640.779, 0.66, 0.2109, 0.58,0.2226
model-1615048635, 1615048640.83, 0.58, 0.2364, 0.6,0.2428
model-1615048635, 1615048640.877, 0.69, 0.2015, 0.63,0.2324
model-1615048635, 1615048640.931, 0.66, 0.2109, 0.62,0.2254
model-1615048635, 1615048640.979, 0.72, 0.1919, 0.74,0.1813
model-1615048635, 1615048641.029, 0.71, 0.2046, 0.67,0.1947
model-1615048635, 1615048641.077, 0.73, 0.1936, 0.65,0.2186
model-1615048635, 1615048641.125, 0.68, 0.1993, 0.74,0.1891
model-1615048635, 1615048641.177, 0.78, 0.1853, 0.67,0.2361
model-1615048635, 1615048641.229, 0.7, 0.1984, 0.61,0.2468
model-1615048635, 1615048641.285, 0.56, 0.2856, 0.6,0.2536
model-1615048635, 1615048641.335, 0.67, 0.2262, 0.63,0.2234
model-1615048635, 1615048641.386, 0.73, 0.1973, 0.58,0.2219
model-1615048635, 1615048641.434, 0.79, 0.1891, 0.64,0.2098
model-1615048635, 1615048641.483, 0.56, 0.2399, 0.65,0.2182
model-1615048635, 1615048641.539, 0.73, 0.2031, 0.76,0.1966
model-1615048635, 1615048641.589, 0.67, 0.2126, 0.65,0.2084
model-1615048635, 1615048641.636, 0.67, 0.2198, 0.61,0.2328
model-1615048635, 1615048641.686, 0.6, 0.2327, 0.75,0.1875
model-1615048635, 1615048641.732, 0.68, 0.2059, 0.77,0.1835
model-1615048635, 1615048641.779, 0.73, 0.1761, 0.71,0.1843
model-1615048635, 1615048641.831, 0.77, 0.1775, 0.7,0.1924
model-1615048635, 1615048641.878, 0.71, 0.192, 0.71,0.2017
model-1615048635, 1615048641.928, 0.61, 0.2392, 0.74,0.1679
model-1615048635, 1615048641.975, 0.74, 0.1712, 0.74,0.1831
model-1615048635, 1615048642.029, 0.72, 0.1972, 0.71,0.1982
model-1615048635, 1615048642.077, 0.68, 0.1997, 0.73,0.1789
model-1615048635, 1615048642.125, 0.65, 0.2086, 0.69,0.1938
model-1615048635, 1615048642.177, 0.66, 0.2411, 0.71,0.1914
model-1615048635, 1615048642.224, 0.76, 0.1754, 0.63,0.2244
model-1615048635, 1615048642.275, 0.75, 0.1692, 0.67,0.2013
model-1615048635, 1615048642.322, 0.64, 0.2232, 0.67,0.1969
model-1615048635, 1615048642.373, 0.72, 0.1774, 0.83,0.1595
model-1615048635, 1615048642.424, 0.68, 0.1894, 0.64,0.2051
model-1615048635, 1615048642.473, 0.67, 0.2181, 0.69,0.1832
model-1615048635, 1615048642.53, 0.72, 0.1804, 0.67,0.2006
model-1615048635, 1615048642.577, 0.77, 0.1552, 0.63,0.2399
model-1615048635, 1615048642.627, 0.7, 0.2136, 0.7,0.2115
model-1615048635, 1615048642.678, 0.72, 0.1926, 0.72,0.1873
model-1615048635, 1615048642.729, 0.66, 0.1981, 0.74,0.187
model-1615048635, 1615048642.776, 0.75, 0.1655, 0.78,0.1723
model-1615048635, 1615048642.825, 0.76, 0.1729, 0.78,0.1709
model-1615048635, 1615048642.872, 0.71, 0.1912, 0.68,0.1958
model-1615048635, 1615048642.922, 0.69, 0.1939, 0.63,0.2059
model-1615048635, 1615048642.968, 0.74, 0.1872, 0.7,0.1761
model-1615048635, 1615048643.019, 0.79, 0.166, 0.68,0.2087
